"","mpg","disp","hp","drat","wt","qsec","vs","am","gear","carb"
"1",18.7,360,175,3.15,3.44,17.02,0,0,3,2
"2",14.3,360,245,3.21,3.57,15.84,0,0,3,4
"3",16.4,275.8,180,3.07,4.07,17.4,0,0,3,3
"4",17.3,275.8,180,3.07,3.73,17.6,0,0,3,3
"5",15.2,275.8,180,3.07,3.78,18,0,0,3,3
"6",10.4,472,205,2.93,5.25,17.98,0,0,3,4
"7",10.4,460,215,3,5.424,17.82,0,0,3,4
"8",14.7,440,230,3.23,5.345,17.42,0,0,3,4
"9",15.5,318,150,2.76,3.52,16.87,0,0,3,2
"10",15.2,304,150,3.15,3.435,17.3,0,0,3,2
"11",13.3,350,245,3.73,3.84,15.41,0,0,3,4
"12",19.2,400,175,3.08,3.845,17.05,0,0,3,2
"13",15.8,351,264,4.22,3.17,14.5,0,1,5,4
"14",15,301,335,3.54,3.57,14.6,0,1,5,8
